PATHOLOGIES,PLACEHOLDER,OBSERVATION,IMPRESSION,VARIABLES,QUESTION
pcos pattern,OVARIES,"_side_1 ovaries show small peripherally arranged follicles with central echogenic stroma
Left ovary measures ~ _measurement_1 cm  Vol ~ _measurement_2 cc.
Right ovary measures ~ _measurement_3 cm  Vol ~ _measurement_4 cc.",_side_1 ovaries show small peripherally arranged follicles with central echogenic stroma – Suggested clinical / lab correlation in view of PCOS pattern.,"side_1,measurement_1,measurement_2,measurement_3,measurement_4","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""PCOS Pattern""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the ovaries"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the left ovary (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_2"",
        ""value"": ""Volume of the left ovary (cc): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_3"",
        ""value"": ""Measurement of the right ovary (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_4"",
        ""value"": ""Volume of the right ovary (cc): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]"
pelvi-caliectasis,KIDNEYS,_side_1 kidney shows caliectasis.,_side_1 kidney shows caliectasis,"side_1,kidney_pole_1,kidney_pole_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Pelvi-Caliectasis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the kidney showing caliectasis:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [{
                ""type"": ""multiple choice"",
                ""key"": ""kidney_pole_1"",
                ""value"": ""Pole of the right kidney involved:"",
                ""followup"": ""true"",
                ""to_followup"": {
                    ""upper"": {
                        ""additional_text"": ""in upper polar region.""
                    },
                    ""interpolar"": {
                        ""additional_text"": ""in inter polar region.""
                    },
                    ""lower"": {
                        ""additional_text"": ""in lower polar region.""
                    }
                }
            }],
            ""left"": [{
                ""type"": ""multiple choice"",
                ""key"": ""kidney_pole_1"",
                ""value"": ""Pole of the left kidney involved:"",
                ""followup"": ""true"",
                ""to_followup"": {
                    ""upper"": {
                        ""additional_text"": ""in upper polar region.""
                    },
                    ""interpolar"": {
                        ""additional_text"": ""in inter polar region.""
                    },
                    ""lower"": {
                        ""additional_text"": ""in lower polar region.""
                    }
                }
            }],
            ""bilateral"": [
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney involved:"",
                    ""followup"": ""fasle"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_2"",
                    ""value"": ""Pole of the left kidney involved:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""in _kidney_pole_1 region of the right kidney and _kidney_pole_2 region of left kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""in _kidney_pole_1 region of the right kidney and _kidney_pole_2 region of left kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""in _kidney_pole_1 region of the right kidney and _kidney_pole_2 region of left kidney.""
                        }
                    }
                }
            ]
        }
    }
]"
pelvic inflammatory disease,UTERUS,"heterogeneous in echotexture.
Minimal free fluid in pouch of Doughlas.",Mild heterogeneous echotexture of uterus with minimal free fluid in pouch of Doughlas- Suggested clinical in view of pelvic inflammatory disease.,,
phyrigian cap,GALL BLADDER,Phyrigian cap noted.,,,
post-void residual urine,URINARY BLADDER,Prevoid ~ _measurement_1 cc       Post void ~ _measurement_2 cc.,Significant post void residual urine.,"measurement_1,measurement_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Post-Void Residual Urine""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Prevoid urine volume (cc):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_2"",
        ""value"": ""Post-void urine volume (cc):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
prominence of renal pelvis,KIDNEYS,Mild prominence of _side_1 renal pelvis noted.,Mild prominence of _side_1 renal pelvis.,"side_1,measurement_1,measurement_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prominence of Renal Pelvis""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of renal pelvis prominence:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""AP diameter of the right kidney (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""AP diameter measures ~ _measurement_1 mm.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""AP diameter of the left kidney (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""AP diameter measures ~ _measurement_1 mm.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""AP diameter of the right kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""AP diameter of the left kidney (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"": {
                            ""additional_text"": ""Right kidney: AP diameter measures ~ _measurement_1 mm. Left kidney: AP diameter measures ~ _measurement_2 mm.""
                        }
                    }
                }
            ]
        }
    }
]"
prominent cbd,CBD,Normal in course and prominent in calibre (~ _measurement_1 mm).,Prominent CBD with echogenic sludge.,"measurement_1,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prominent CBD""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the CBD (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Presence of echogenic sludge within the CBD:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""– showing echogenic sludge within.""
            },
            ""no"": ""__mandate__""
        }
    }
]
"
prominent endometrial thickness,UTERUS,ET~ _measurement_1 mm- prominent.,Prominent uterine endometrial thickness – suggested clinical correlation.,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prominent Endometrial Thickness""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the endometrial thickness (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
prominent hepatic veins,LIVER,Hepatic veins and intra hepatic IVC appear prominent in calibre.,"Hepatic veins and intra hepatic IVC appear prominent in calibre – suggested clinical / Echo correlation.
",,
prominent mesenteric lymph nodes,OTHER," Few prominent mesenteric lymph nodes noted, largest measuring ~ _measurement_1 mm in peri umbilcal region",,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prominent Mesenteric Lymph Nodes""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lymph node (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]"
prominent para aortic and mesenteric lymph nodes,PARA AORTIC AREA,"Few prominent para aortic and mesenteric lymph nodes noted, largest measuring~ _measurement_1 mm in _nodes region.",Prominent para aortic and mesenteric lymph nodes as described.,"measurement_1,nodes","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prominent Para-Aortic and Mesenteric Lymph Nodes""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the largest lymph node (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""nodes"",
        ""value"": ""Region where the largest lymph node is located:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
prominent portal vein,PORTAL VEIN,Normal in course and prominent in calibre (~ _measurement_1 mm),Prominent portal vein.,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prominent Portal Vein""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the portal vein (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
prominent splenic vein,SPLEEN,Prominent splenic vein noted (~ _measurement_1 mm).,,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prominent Splenic Vein""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the splenic vein (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
prostatitis,PROSTATE,Bulky in size (Vol~ _measurement_1 cc) and heterogeneous in echotexture.,Bulky prostate showing heterogeneous echotexture ~? Prostatitis.,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prostatitis""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Volume of the prostate (cc):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
prostatomegaly,PROSTATE,_severity prostatomegaly (Vol~ _measurement_1 cc) with normal echotexture.,_severity prostatomegaly.,"severity,measurement_1,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Prostatomegaly""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""severity"",
        ""value"": ""Severity of prostatomegaly"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Volume of the prostate (cc): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Is post-void residual urine present?: "",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""with significant post void residual urine.""
            },
            ""no"": ""__mandate__""
        }
    }
]
"
puj calculus,KIDNEYS,A calculus noted in _side_1,_side_1 PUJ calculus showing associated hydronephrosis.,"side_1,measurement_1,measurement_2,level_1,kidney_pole_1,kidney_pole_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""PUJ Calculus""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of PUJ calculus:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""level_1"",
                    ""value"": ""Level of hydronephrosis in right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus in right kidney (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": { 
                        ""measurement_1"":{
                        ""additional_text"": ""Measuring ~ _measurement_1 mm is seen corresponding to _side_1 pelvi-ureteric junction resulting in upstream _level_1 hydronephrosis.""
                    }
                }
                }
            ],
            ""left"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""level_1"",
                    ""value"": ""Level of hydronephrosis in left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus in left kidney (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": { 
                        ""measurement_1"":{
                        ""additional_text"": ""Measuring ~ _measurement_1 mm is seen corresponding to _side_1 pelvi-ureteric junction resulting in upstream _level hydronephrosis.""
                    }
                }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""level_1"",
                    ""value"": ""Level of hydronephrosis in both kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus in right kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the calculus in left kidney (mm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"":{
                            ""additional_text"":""Measuring ~ _measurement_1 mm is seen in right kidney corresponding to right pelvi-ureteric junction and measuring ~ _measurement_2 mm is seen in left kidney corresponding to left pelvi-ureteric junction resulting in upstream _level_1 hydronephrosis.""
                        }
                    }
                }
            ]
        }
    }
]"
puj obstruction,KIDNEYS,"_side_1 kidney is enlarged in size. Right kidney measuring ~ _measurement_1 cm, left kidney ~ _measurement_3 cm showing _level_1 hydronephrosis leading to blunting of calyces, flattening of papillae and significant parenchymal thinning (~ _measurement_2 mm). Coarse internal echoes and dependent debris noted within the pelvis.
Abrupt narrowing is seen corresponding to PUJ with non-visualization of _location_1 ureter - ? Stricture.","_side_1 kidney is enlarged in size measuring ~ _measurement_1 cm showing _level hydronephrosis leading to blunting of calyces, flattening of papillae and significant parenchymal thinning - likely secondary to PUJ obstruction.","side_1,measurement_1,measurement_3,level_1,measurement_2,location_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""PUJ Obstruction""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the kidney:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Size of the right kidney (cm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_3"",
        ""value"": ""Size of the left kidney (cm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""level_1"",
        ""value"": ""Level of hydronephrosis:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_2"",
        ""value"": ""Measurement of parenchymal thinning (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""location_1"",
        ""value"": ""Location of non-visualized ureter:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
puj stricture,KIDNEYS,_side_1 kidney showing _level_1 hydronephrosis showing abrupt narrowing corresponding to pelvi-ureteric junction.,"_side_1 kidney showing _level_1 hydronephrosis showing abrupt narrowing corresponding to pelvi-ureteric junction - ? PUJ stricture. 
Suggested CT Urogram correlation.","side_1,level_1,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""PUJ Stricture""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the kidney:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""level_1"",
        ""value"": ""Level of hydronephrosis:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Is there associated parenchymal thinning?"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""There is associated significant parenchymal thinning.""
            },
            ""no"": ""__mandate__""
        }
    }
]
"
raised renal cortical echotexture,KIDNEYS,_side_1 kidney(s) are normal in size with mild raised cortical echotexture.,_side_1 mild raised renal cortical echotexture – suggested RFT correlation.,side_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Raised Renal Cortical Echotexture""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""place_holder"": ""false"",
        ""value"": ""Select the side of the kidney(s) involved: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
rectum wall thickening,OTHER,Heterogeneously hyperechoic circumferential wall thickening (having a maximum thickness of ~ _measurement_1 cm) is seen involving proximal rectum.,Heterogeneously hyperechoic circumferential wall thickening involving proximal rectum – suggested CECT abdomen and pelvis for further evaluation.,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Rectum Wall Thickening""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Maximum thickness of the wall (cm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
reflux of saphano-femoral junction,OTHER,Mild reflux of Saphano-femoral junction (SFJ) noted _side_1 side.,,side_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Reflux of Saphano-Femoral Junction""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of reflux noted:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
renal calculus,KIDNEYS,"_side_1 renal calculus, ",_side_1 renal calculi.,"side_1,no_of_1,measurement_1,kidney_pole_1,no_of_2,measurement_2,kidney_pole_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Renal Calculus""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of renal calculus:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of calculi in right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the calculus is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of calculi in left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the left kidney where the calculus is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of calculi in right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calculus in right kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the calculus is located:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_2"",
                    ""value"": ""Number of calculi in left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the calculus in left kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_2"",
                    ""value"": ""Pole of the left kidney where the calculus is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. _no_of_2 calculus measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. _no_of_2 calculus measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""_no_of_1 calculus measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. _no_of_2 calculus measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
                        }
                    }
                }
            ]
        }
    }
]"
renal papillary tip calcifications,KIDNEYS,_side_1 renal papillary tip calcifications noted.,,side_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Renal Papillary Tip Calcifications""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the renal papillary tip calcifications:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
renal parenchymal changes,KIDNEYS,_side_1 kidneys are normal in size showing _rpc_grade renal parenchymal changes,_side_1 kidneys are normal in size showing _rpc_grade renal parenchymal changes-Suggested RFT correlation.,"side_1,rpc_grade","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Renal Parenchymal Changes""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the kidney involved:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""rpc_grade"",
        ""value"": ""Grade of renal parenchymal changes"",
        ""followup"": ""true"",
        ""to_followup"": [
            {
                ""grade II"": {
                    ""additional_text"": ""with blurring of cortico-medullary differentiation.""
                },
                ""grade III"": {
                    ""additional_text"": ""showing loss of cortico-medullary differentiation.""
                },
                ""grade IV"": {
                    ""additional_text"": ""with severe loss of cortico-medullary differentiation and marked thinning of renal parenchyma.""
                },
                ""grade I"": ""__mandate__""
            }
        ]
    }
]"
seedling uterine fibroid,UTERUS,A small seedling fibroid noted measuring ~ _measurement_1 mm at the _uterus_location.,Small _uterus_location seedling uterine fibroid,"measurement_1,uterus_location,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Seedling Uterine Fibroid""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Measurement of the fibroid (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""uterus_location"",
        ""value"": ""Location of the fibroid in the uterus:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Presence of calcification:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""showing calcifications within.""
            },
            ""no"": ""__mandate__""
        }
    }
]
"
siderotic nodule,LIVER,Showing coarse echotexture and surface nodularity. Multiple tiny hyperechoic foci are seen diffusely scattered across hepatic parenchyma ~ Siderotic /regenerative nodules.,Coarse echotexture and surface nodularity. Multiple tiny hyperechoic foci are seen diffusely scattered across hepatic parenchyma ~ Siderotic /regenerative nodules.,,
simple hepatic cyst,LIVER,A well-defined thin walled cystic lesion noted in _lobe_1 lobe measuring ~ _measurement_1 cm ~ Likely in favour of simple hepatic cyst.,A well-defined thin walled cystic lesion noted in _lobe_1 lobe measuring ~ _measurement_1 cm ~ Likely in favour of simple hepatic cyst.,"lobe_1,measurement_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""simple hepatic cyst""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""lobe_1"",
        ""value"": ""cyst noted lobe in liver:"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Size of the cyst (cm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }

]
"
simple ovarian cyst,OVARIES,A well-defined cystic lesion seen in _side_1 adnexa.,_side_1 adnexal cystic lesion as described – Likely simple ovarian cyst.,"side_1,measurement_1,measurement_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Simple Ovarian Cyst""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the ovarian cyst:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the lesion (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm. showing no obvious internal septations/echoes within. Left ovary - normal in size and echotexture.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the lesion (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm. showing no obvious internal septations/echoes within. Right ovary - normal in size and echotexture.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the right lesion (cm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the left lesion (cm):"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_2"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm in right adnexa and measuring ~ _measurement_2 cm in left adnexa. showing no obvious internal septations/echoes within.""
                        }
                    }
                }
            ]
        }
    }
]"
simple prostatic cyst,PROSTATE,Simple prostatic cyst measuring ~ _measurement_1 mm is seen in midline.,,measurement_1,"[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Simple Prostatic Cyst""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Size of the cyst (mm):"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
